Appellation,Robert,J.Robinson,J.Suckling,Prix
Haut-Médoc,None,None,90.0,14.75
Haut-Médoc,None,16.0,None,21.25
Haut-Médoc,None,None,None,13.0
Saint-Estèphe,None,17.0,96.0,54.08
Pessac-Léognan,None,16.5,94.0,33.0
Pessac-Léognan,None,16.5,95.0,36.0
Haut-Médoc,None,15.0,92.0,24.58
Haut-Médoc,None,16.5,93.0,60.0
Margaux,None,16.0,93.0,59.0
Moulis,None,15.5,93.0,38.0
Haut-Médoc,None,None,None,13.92
Pauillac,None,18.0,98.0,283.0
Saint-Emilion,None,15.0,96.0,99.0
Haut-Médoc,None,16.0,95.0,30.0
Pomerol,None,16.0,96.0,85.0
Pessac-Léognan,None,16.5,93.0,30.33
Haut-Médoc,None,14.5,None,17.25
Haut-Médoc,None,16.0,94.0,51.67
Pessac-Léognan,None,None,92.0,29.0
Haut-Médoc,None,16.0,92.0,23.0
Haut-Médoc,None,16.0,94.5,63.0
Pomerol,None,16.5,95.0,89.5
Saint-Estèphe,None,None,91.5,25.0
Pessac-Léognan,None,16.5,93.0,43.0
Pessac-Léognan,None,16.5,94.0,55.83
Saint-Estèphe,None,16.0,96.0,46.0
Saint-Estèphe,None,17.0,94.0,57.0
Margaux,None,16.0,96.0,79.0
Pessac-Léognan,None,16.5,93.0,37.5
Pessac-Léognan,None,15.5,93.0,24.5
Listrac,None,16.0,91.0,17.5
Pessac-Léognan,None,None,93.0,28.08
Saint-Estèphe,None,16.5,92.0,30.0
Pessac-Léognan,None,15.5,97.0,105.0
Saint-Julien,None,16.5,96.0,54.92
Margaux,None,16.0,95.0,50.0
Moulis,None,16.5,90.0,26.0
Pessac-Léognan,None,16.0,91.0,28.75
Pessac-Léognan,None,16.0,92.0,43.5
Pomerol,None,None,None,40.75
Haut-Médoc,None,17.0,95.0,38.92
Pessac-Léognan,None,16.5,97.0,102.0
Pessac-Léognan,None,16.0,93.0,46.67
Haut-Médoc,None,15.5,None,19.08
Pessac-Léognan,None,15.5,92.0,34.0
Pessac-Léognan,None,16.5,94.0,55.0
Pessac-Léognan,None,16.5,96.0,53.0
Pauillac,None,17.0,96.0,93.0
Saint-Julien,None,17.5,94.0,62.0
Saint-Estèphe,None,16.5,94.0,51.67
Pomerol,None,15.5,93.0,36.0
Margaux,None,16.5,96.0,134.0
Saint-Emilion,None,17.5,97.0,185.0
Margaux,None,None,93.0,25.92
Pauillac,None,15.5,92.0,55.0
Pauillac,None,16.0,93.0,55.0
Saint-Estèphe,None,17.5,99.0,240.0
Pauillac,None,None,None,37.42
Saint-Estèphe,None,16.0,94.0,50.83
Sauternes,None,None,90.5,26.0
Pessac-Léognan,None,None,92.0,23.0
Sauternes,None,16.0,None,29.5
Pauillac,None,17.5,97.0,170.0
Pessac-Léognan,None,16.0,91.0,27.58
Saint-Julien,None,15.5,92.0,28.5
Pauillac,None,15.5,95.0,41.0
Saint-Estèphe,None,17.0,93.5,39.0
Haut-Médoc,None,15.5,89.5,19.0
Pessac-Léognan,None,17.0,98.0,155.0
Haut-Médoc,None,15.0,92.0,29.0
Saint-Emilion,None,15.5,97.0,92.0
Haut-Médoc,None,16.0,92.0,32.0
Saint-Emilion,None,16.5,93.0,33.92
Margaux,None,16.5,93.0,63.42
Pessac-Léognan,None,16.0,92.0,40.0
Pessac-Léognan,None,16.0,97.0,84.0
Margaux,None,16.0,94.0,57.0
Haut-Médoc,None,14.5,92.0,33.5
Pauillac,None,15.0,None,30.5
Saint-Julien,None,16.5,95.0,78.0
Saint-Estèphe,None,16.0,92.0,26.3
Margaux,None,15.0,92.5,27.0
Margaux,None,17.5,97.0,72.0
Moulis,None,16.0,90.0,37.42
Graves,None,15.5,88.0,16.5
Saint-Estèphe,None,17.5,98.0,229.0
Pomerol,None,16.0,95.0,49.0
Saint-Emilion,None,16.5,94.0,36.42
Margaux,None,16.0,94.0,41.0
Saint-Emilion,None,18.0,98.0,115.0
Margaux,None,17.0,94.0,46.0
Lalande de Pomerol,None,None,91.0,20.0
Saint-Emilion,None,16.5,93.0,48.0
Lalande de Pomerol,None,16.0,93.0,29.0
Margaux,None,16.0,95.0,84.0
Pauillac,None,17.0,95.0,52.0
Pessac-Léognan,None,17.5,99.0,99.0
Pauillac,None,16.5,99.0,149.0
Saint-Emilion,None,16.0,94.0,39.0
Pauillac,None,None,91.5,35.0
Haut-Médoc,None,None,None,20.83
Saint-Estèphe,None,18.5,97.0,280.0
Saint-Estèphe,None,16.5,88.0,30.0
Pessac-Léognan,None,16.0,92.0,44.5
Pomerol,None,16.0,97.0,295.0
Saint-Emilion,None,16.5,96.0,850.0
Pauillac,None,16.0,None,33.5
Saint-Emilion,None,17.0,97.0,330.0
Saint-Julien,None,16.5,94.0,53.0
Margaux,None,16.0,93.0,43.0
Pessac-Léognan,None,16.0,94.0,42.0
Margaux,None,16.5,95.0,54.0
Sauternes,None,18.0,None,47.0
Lalande de Pomerol,None,16.5,93.0,32.0
Haut-Médoc,None,16.5,92.0,25.0
Pauillac,None,16.5,None,35.0
Haut-Médoc,None,None,92.0,20.0
Saint-Julien,None,16.0,94.0,60.0
Saint-Emilion,None,16.0,93.0,39.0
Bordeaux Blancs Secs,None,16.0,93.0,14.0
Sauternes,None,17.5,None,447.0
Pomerol,None,15.5,96.0,96.67
Graves,None,16.0,90.0,22.0
Pauillac,None,17.5,94.0,299.0
Sauternes,None,16.5,97.0,63.0
Pessac-Léognan,None,16.0,93.0,48.0
Saint-Emilion,None,15.5,91.0,46.83
Moulis,None,16.0,92.0,44.17
Pessac-Léognan,None,17.0,92.0,33.83
Pomerol,None,15.0,94.0,37.5
Pauillac,None,15.0,95.0,61.0
Saint-Emilion,None,18.5,96.0,168.5
Margaux,None,15.5,91.0,75.0
Margaux,None,18.0,100.0,975.0
Pomerol,None,14.0,94.0,83.0
Saint-Estèphe,None,15.5,91.0,23.0
Saint-Estèphe,None,15.0,92.0,35.0
Haut-Médoc,None,15.0,93.0,32.0
Saint-Emilion,None,14.5,98.0,180.0
Saint-Julien,None,16.0,99.0,366.0
Saint-Emilion,None,16.0,98.0,149.0
Pauillac,None,15.0,91.5,40.67
Francs Côtes de Bordeaux,None,16.0,94.0,25.5
Saint-Julien,None,15.5,93.0,58.0
Pomerol,None,16.5,92.0,47.83
Saint-Emilion,None,16.0,91.0,49.0
Pessac-Léognan,None,18.0,98.0,275.0
Saint-Estèphe,None,None,91.0,24.42
Saint-Estèphe,None,16.0,98.0,368.0
Saint-Emilion,None,15.5,95.0,46.0
Haut-Médoc,None,None,None,146.0
Margaux,None,15.5,95.0,109.0
Saint-Julien,None,18.0,97.0,113.0
Pomerol,None,None,93.0,43.25
Margaux,None,15.5,93.0,69.0
Pessac-Léognan,None,None,95.0,31.5
Saint-Emilion,None,15.5,93.0,69.0
Pessac-Léognan,None,16.0,97.0,199.0
Barsac,None,16.0,91.0,79.0
Pessac-Léognan,None,17.5,99.0,179.0
Pauillac,None,17.0,96.0,49.0
Saint-Emilion,None,16.0,94.0,43.0
Saint-Julien,None,18.0,99.0,389.0
Saint-Julien,None,16.5,98.0,310.0
Pauillac,None,16.5,95.0,115.5
Saint-Julien,None,16.5,96.0,58.0
Barsac,None,17.0,94.0,47.0
Pomerol,None,16.0,94.0,34.0
Lalande de Pomerol,None,16.0,93.0,30.0
Moulis,None,14.0,92.0,42.08
Haut-Médoc,None,None,90.0,14.0
Saint-Julien,None,17.0,94.0,41.0
Pomerol,None,None,91.0,42.92
Haut-Médoc,None,17.0,93.0,64.5
Haut-Médoc,None,15.5,96.0,105.0
Margaux,None,16.5,96.0,46.0
Sauternes,None,18.0,98.0,625.0
Haut-Médoc,None,None,91.0,20.0
Saint-Julien,None,16.5,94.0,47.0
Haut-Médoc,None,15.5,93.0,42.0
Lalande de Pomerol,None,16.5,93.0,40.83
Haut-Médoc,None,16.0,94.0,39.0
Pauillac,None,16.5,94.0,49.0
Moulis,None,16.5,94.0,33.0
Margaux,None,16.5,93.0,38.0
Saint-Estèphe,None,15.5,96.0,52.0
Listrac,None,16.0,90.0,16.0
Saint-Estèphe,None,16.5,93.0,54.58
Margaux,None,16.0,94.0,55.0
Haut-Médoc,None,None,None,12.17
Saint-Estèphe,None,17.0,95.0,40.0
Pessac-Léognan,None,16.0,92.0,35.33
Haut-Médoc,None,16.5,92.5,34.0
Pauillac,None,16.0,93.0,48.0
Saint-Julien,None,16.5,92.0,82.0
Saint-Emilion,None,16.0,94.0,61.0
Pessac-Léognan,None,None,91.5,31.0
Saint-Julien,None,17.0,96.0,88.42
Bordeaux,None,None,89.0,10.92
Saint-Emilion,None,16.0,94.0,36.0
Saint-Emilion,None,16.5,94.0,33.0
Saint-Estèphe,None,16.0,94.0,41.92
Margaux,None,16.5,96.0,70.0
Saint-Emilion,None,15.5,95.0,65.0
Pessac-Léognan,None,16.5,93.0,28.0
Listrac,None,16.0,88.5,14.0
Moulis,None,16.5,92.0,28.0
Graves,None,15.5,90.5,16.0
Saint-Julien,None,17.5,96.0,71.0
Saint-Emilion,None,16.5,94.0,81.67
Pauillac,None,17.0,96.0,42.0
Haut-Médoc,None,17.0,95.0,52.0
Margaux,None,16.5,92.0,36.0
Haut-Médoc,None,None,None,11.0
Sauternes,None,17.0,98.0,365.0
Saint-Estèphe,None,15.5,92.0,23.5
Margaux,None,16.0,92.0,31.0
Pomerol,None,16.0,92.0,40.0
Saint-Estèphe,None,None,96.0,49.0
Margaux,None,16.5,95.0,38.0
Pomerol,None,17.0,91.0,59.0
Pomerol,None,None,91.0,32.0
Pauillac,None,16.0,94.0,40.0
Saint-Emilion,None,16.5,94.0,42.92
Moulis,None,16.0,93.0,32.0
Saint-Julien,None,16.5,None,25.5
Saint-Julien,None,None,93.0,27.0
Pomerol,None,16.0,96.0,92.0
Saint-Emilion,None,16.5,91.0,31.0
Moulis,None,16.0,93.0,35.0
Moulis,None,15.5,92.0,34.92
Saint-Emilion,None,16.0,93.0,28.0
Margaux,None,15.0,93.0,24.92
Saint-Estèphe,None,18.0,93.0,36.0
Saint-Estèphe,None,15.5,94.0,48.0
